TAD	Term	P.value	P.adjust
Phenylalanine, tyrosine and tryptophan biosynthesis	TAD1915	0.0114853302299628	0.115232122591671
Phosphatidylinositol signaling system	TAD2583|TAD2582|TAD2629|TAD2148|TAD2149|TAD526|TAD527|TAD2142|TAD2058	0.0252187020370631|0.012689054088695|0.0252187020370631|0.0498076845450792|0.0498076845450792|0.0498076845450792|0.0737825153547644|0.00813677564899417|0.0855443843875865	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.115232122591671|0.12003563706251
Phospholipase D signaling pathway	TAD2649|TAD2629|TAD876	0.0175711150164861|0.0375815338091027|0.0558428072701608	0.115232122591671|0.115232122591671|0.115232122591671
Phosphonate and phosphinate metabolism	TAD2238|TAD2237	0.00766818530635949|0.00537289286350506	0.115232122591671|0.108835522106897
Phototransduction	TAD2498	0.079472524701985	0.119543551774631
PI3K-Akt signaling pathway	TAD506|TAD2649|TAD188	0.00634142761326756|0.0861483800206721|0.0187402479023661	0.114016399159268|0.120561949010329|0.115232122591671
Platelet activation	TAD2649|TAD2629|TAD2148|TAD2149|TAD526|TAD527|TAD1545|TAD1967	0.0125477228039631|0.0315361274087178|0.0620854964125581|0.0620854964125581|0.0620854964125581|0.091678739250352|0.0469322197422198|0.091678739250352	0.115232122591671|0.115232122591671|0.116002141856372|0.116002141856372|0.116002141856372|0.122358683260164|0.115232122591671|0.122358683260164
Porphyrin and chlorophyll metabolism	TAD1916|TAD1915|TAD2797|TAD1382	0.0728427343593984|0.0926856274736272|0.0318779084067983|0.042281754870251	0.11858757455853|0.122416535029286|0.115232122591671|0.115232122591671
PPAR signaling pathway	TAD927|TAD1230|TAD858|TAD873	0.0555934173283761|0.0465443318541175|0.0822353955816028|0.0734381700988364	0.115232122591671|0.115232122591671|0.119543551774631|0.11858757455853
Primary immunodeficiency	TAD1174|TAD2656	0.00992558881496355|0.0234939979046532	0.115232122591671|0.115232122591671
Prion diseases	TAD2498	0.0983755576716435	0.122935610123605
Progesterone-mediated oocyte maturation	TAD1858|TAD1859|TAD2238|TAD627|TAD1118|TAD858	0.037590926203516|0.142172116129372|0.119950097455815|0.108626346435295|0.0618709109146661|0.108626346435295	0.115232122591671|0.147687010837875|0.129771183839744|0.126402479830167|0.116002141856372|0.126402479830167
Prolactin signaling pathway	TAD837|TAD1858|TAD1859|TAD1234|TAD2303	0.0695927723472249|0.0266787930732547|0.102576373106852|0.118633216577788|0.0526557280856691	0.116895301324227|0.115232122591671|0.124478240790189|0.129269298064073|0.115232122591671
Propanoate metabolism	TAD2143|TAD2310|TAD2309|TAD127	0.0559605705255652|0.0402891524144062|0.0163085074894637|0.0442304700636279	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Prostate cancer	TAD837|TAD842|TAD1362|TAD2298|TAD2238|TAD2310	0.0952805181807087|0.0606520867050563|0.0488202794605933|0.0488202794605933|0.117661133193766|0.117661133193766	0.122880787262533|0.116002141856372|0.115232122591671|0.115232122591671|0.128923977856993|0.128923977856993
Proteasome	TAD1174|TAD2723|TAD432|TAD2716|TAD1382	0.0144569462958223|0.0115029718516229|0.0452410984849958|0.0616852929488551|0.0452410984849958	0.115232122591671|0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671
Protein digestion and absorption	TAD506|TAD1636|TAD2171|TAD432	0.00449454790502308|0.034213177390754|0.0992043689288581|0.0886810554817654	0.100019516759669|0.115232122591671|0.122935610123605|0.122158733793539
Protein export	TAD1814|TAD1251|TAD2800	0.0175635136826847|0.0175635136826847|0.0146568968592609	0.115232122591671|0.115232122591671|0.115232122591671
Protein processing in endoplasmic reticulum	TAD1174|TAD1858|TAD1859|TAD1814|TAD527|TAD1466|TAD1251|TAD2800|TAD2914	0.146305091401999|0.062120755008328|0.226388919344603|0.120404458325026|0.120404458325026|0.0255300235017386|0.120404458325026|0.101388045277807|0.0819630521520166	0.151383133212285|0.116002141856372|0.229144453917023|0.129771183839744|0.129771183839744|0.115232122591671|0.129771183839744|0.1237968404474|0.119543551774631
Proteoglycans in cancer	TAD2583|TAD2582|TAD2629|TAD2148|TAD2149|TAD526|TAD527|TAD1476|TAD1785|TAD876|TAD1413|TAD1442|TAD816|TAD1529	0.0508647544874338|0.0257626249679569|0.0508647544874338|0.0991545037746685|0.0991545037746685|0.0991545037746685|0.144998987488432|0.0753232396602578|0.0991545037746685|0.0753232396602578|0.0753232396602578|0.0753232396602578|0.122374553113126|0.0508647544874338	0.115232122591671|0.115232122591671|0.115232122591671|0.122935610123605|0.122935610123605|0.122935610123605|0.150228459168343|0.11858757455853|0.122935610123605|0.11858757455853|0.11858757455853|0.11858757455853|0.129961377996785|0.115232122591671
Purine metabolism	TAD1814|TAD75|TAD1967|TAD1968	0.0952231728464741|0.0487931951163488|0.0952231728464741|0.715337564349661	0.122880787262533|0.115232122591671|0.122880787262533|0.715337564349661
Pyrimidine metabolism	TAD2744|TAD280|TAD1967|TAD1968|TAD2608	0.0360083272829534|0.117311841909627|0.0430555923008925|0.424538113985298|0.110802173775178	0.115232122591671|0.128896182348547|0.115232122591671|0.425076185105684|0.126402479830167
Pyruvate metabolism	TAD2143|TAD2793|TAD1230|TAD1027	0.067807756242811|0.0198492369445546|0.0247512476856631|0.0489051995812562	0.116873426769585|0.115232122591671|0.115232122591671|0.115232122591671
Rap1 signaling pathway	TAD2727|TAD2583|TAD2582|TAD1785	0.0771470591953285|0.0521131237455309|0.0264034862855679|0.101522967107338	0.118923783923687|0.115232122591671|0.115232122591671|0.123832633445398
Ras signaling pathway	TAD1858|TAD1859|TAD2583|TAD2582|TAD2629|TAD876|TAD190	0.0865922722644238|0.304068497429879|0.0585914011181956|0.0297359651371443|0.0585914011181956|0.0865922722644238|0.07169777093705	0.120759284562|0.305033794247117|0.116002141856372|0.115232122591671|0.116002141856372|0.120759284562|0.118125628863961
Regulation of actin cytoskeleton	TAD454|TAD1785|TAD2673	0.080060179603247|0.105302790395003|0.103042350472388	0.119543551774631|0.125105764779263|0.124710701580621
Regulation of lipolysis in adipocytes	TAD506|TAD627|TAD1234|TAD2536|TAD899	0.0617161252505158|0.0617161252505158|0.0943705521865562|0.113424863382521|0.0483330957397675	0.116002141856372|0.116002141856372|0.122706681526324|0.126789956992472|0.115232122591671
Relaxin signaling pathway	TAD2500|TAD548|TAD1858|TAD1859|TAD506|TAD1362|TAD1650	0.0806014699184098|0.111006227743934|0.0491650992496279|0.182722648337529|0.0091868731904952|0.0650143795544809|0.0283819905969054	0.119543551774631|0.126450006764748|0.115232122591671|0.186741128313904|0.115232122591671|0.116636733975924|0.115232122591671
Renal cell carcinoma	TAD876	0.0263010487497383	0.115232122591671
Renin-angiotensin system	TAD2536	0.0489997766970907	0.115232122591671
Renin secretion	TAD566|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD332|TAD836|TAD107|TAD2142|TAD1889	0.051920117158856|0.0349156439076135|0.0349156439076135|0.0349156439076135|0.051920117158856|0.0768746354325233|0.0603112808217652|0.051920117158856|1.29932847487832e-05|0.0931501948807734|0.00884388618303	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.118923783923687|0.116002141856372|0.115232122591671|0.000570260830641039|0.122545635230326|0.115232122591671
Retrograde endocannabinoid signaling	TAD1858|TAD1859|TAD2583|TAD566|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD2228|TAD992	0.0558428072701608|0.20545402198482|0.0375815338091027|0.108587091824418|0.0189694950012816|0.0737598818340811|0.0737598818340811|0.0737598818340811|0.108587091824418|0.091339201850567|0.091339201850567	0.115232122591671|0.208891476664102|0.115232122591671|0.126402479830167|0.115232122591671|0.11858757455853|0.11858757455853|0.11858757455853|0.126402479830167|0.122358683260164|0.122358683260164
Rheumatoid arthritis	TAD1174|TAD2303|TAD1121|TAD1756	6.1745379150181e-08|0.0679940509045444|0.0569880112772817|0.121147149470647	4.43444086624027e-06|0.116873426769585|0.115375190636324|0.129771183839744
Ribosome	TAD842|TAD816|TAD542	0.0943040284427999|0.0943040284427999|0.112076438811949	0.122706681526324|0.122706681526324|0.126450006764748
Ribosome biogenesis in eukaryotes	TAD2851	0.0383404659553486	0.115232122591671
RIG-I-like receptor signaling pathway	TAD1916|TAD837|TAD1858|TAD1859|TAD1141|TAD432|TAD546	0.118633216577788|0.0695927723472249|0.0266787930732547|0.102576373106852|0.0944401661540583|0.0695927723472249|0.035414846988484	0.129269298064073|0.116895301324227|0.115232122591671|0.124478240790189|0.122706681526324|0.116895301324227|0.115232122591671
RNA degradation	TAD566|TAD8|TAD2076|TAD1059|TAD1686|TAD2326	0.0592548497777859|0.0398989646885241|0.0968180605795933|0.0398989646885241|0.049625558916481|0.0398989646885241	0.116002141856372|0.115232122591671|0.122935610123605|0.115232122591671|0.115232122591671|0.115232122591671
RNA polymerase	TAD346	0.0466839921530557	0.115232122591671
RNA transport	TAD2793|TAD1545|TAD1967|TAD1012|TAD1099|TAD2763|TAD2930|TAD2140|TAD2851|TAD1100|TAD1126	0.0819630521520166|0.062120755008328|0.120404458325026|0.0255300235017386|0.120404458325026|0.0418522448022211|0.120404458325026|0.062120755008328|0.062120755008328|0.15724553727293|0.0819630521520166	0.119543551774631|0.116002141856372|0.129771183839744|0.115232122591671|0.129771183839744|0.115232122591671|0.129771183839744|0.116002141856372|0.116002141856372|0.161539628667899|0.119543551774631
Salivary secretion	TAD2583|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD1889|TAD2194|TAD2130	0.0229394012513466|0.0115355037169956|0.0453583003597029|0.0453583003597029|0.0453583003597029|0.0672683779620874|0.0992043689288581|0.0115355037169956|0.109607500815988|0.000123989884158722	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116873426769585|0.122935610123605|0.115232122591671|0.126402479830167|0.00477814675538488
Salmonella infection	TAD837|TAD1858|TAD1859|TAD2649|TAD3067|TAD1967	0.0848910538551496|0.0327094223730203|0.124624700714449|0.114854126316193|0.0746822888572957|0.0643609758665987	0.119543551774631|0.115232122591671|0.130661597298493|0.127795436323651|0.11858757455853|0.116483782209881
Selenocompound metabolism	TAD111|TAD2242	0.0237238299389206|0.0151589501168697	0.115232122591671|0.115232122591671
Serotonergic synapse	TAD927|TAD2583|TAD566|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD1005|TAD2484|TAD2485|TAD3020|TAD652	0.0838402395075344|0.0287589905013853|0.0838402395075344|0.0144834657780054|0.0566980116918041|0.0566980116918041|0.0566980116918041|0.0838402395075344|0.123108697530602|0.0144834657780054|0.11020820056679|0.123108697530602|0.123108697530602|0.0971196203356066	0.119543551774631|0.115232122591671|0.119543551774631|0.115232122591671|0.115375190636324|0.115375190636324|0.115375190636324|0.119543551774631|0.13010818869455|0.115232122591671|0.126402479830167|0.13010818869455|0.13010818869455|0.122935610123605
Shigellosis	TAD1916|TAD837|TAD1858|TAD1859|TAD1374|TAD1967|TAD1118	0.110613553231763|0.0647663930908755|0.0247890941094617|0.0955825870542107|0.0409779865169819|0.0489729116005262|0.0409779865169819	0.126402479830167|0.116636733975924|0.115232122591671|0.122880787262533|0.115232122591671|0.115232122591671|0.115232122591671
Signaling pathways regulating pluripotency of stem cells	TAD2500|TAD2793|TAD1413|TAD1442|TAD1529	0.0859829503460211|0.0693948357224532|0.0525078751696363|0.0525078751696363|0.035316724490688	0.120543976527696|0.116895301324227|0.115232122591671|0.115232122591671|0.115232122591671
Small cell lung cancer	TAD837|TAD506|TAD927|TAD2774|TAD1670|TAD2310	0.091514536402497|0.00479229045477513|0.0694439854016072|0.091514536402497|0.058210637873356|0.113067123318864	0.122358683260164|0.100957585580596|0.116895301324227|0.122358683260164|0.116002141856372|0.126789956992472
SNARE interactions in vesicular transport	TAD2649|TAD6|TAD1121|TAD2845|TAD2673	0.0469348969715031|0.0258721289932355|0.0216056923560813|0.0343508976951106|0.0837393207462656	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631
Sphingolipid metabolism	TAD1503|TAD3085	0.0179659275877634|0.0297673038274698	0.115232122591671|0.115232122591671
Sphingolipid signaling pathway	TAD837|TAD1858|TAD1859|TAD2583|TAD2582|TAD316|TAD1503	0.115750259065192|0.045068818696661|0.168539376344075|0.0302742853578905|0.0152524993591386|0.0152524993591386|0.045068818696661	0.128071014932076|0.115232122591671|0.17269274618913|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Spliceosome	TAD2231|TAD652|TAD653|TAD1126|TAD471	0.114246925603886|0.114246925603886|0.0987560730889973|0.0669631537565579|0.0340573469751164	0.127248573614474|0.127248573614474|0.122935610123605|0.116873426769585|0.115232122591671
Staphylococcus aureus infection	TAD1174|TAD2882|TAD703	7.89175931570698e-09|0.0707497289093327|0.0997848295735981	7.33469395224531e-07|0.117904655459813|0.12317189900491
Starch and sucrose metabolism	TAD2143|TAD75|TAD127	0.0627473982950365|0.0137805884118618|0.0496323653673552	0.116164467903186|0.115232122591671|0.115232122591671
Steroid biosynthesis	TAD190|TAD3033	0.0359446235269995|0.0312237408353504	0.115232122591671|0.115232122591671
Steroid hormone biosynthesis	TAD153|TAD784	0.000345527720278437|0.0378743578977522	0.0116156127242539|0.115232122591671
Sulfur relay system	TAD2881	0.0273643184859186	0.115232122591671
Synaptic vesicle cycle	TAD1121|TAD1756|TAD2800|TAD1126	0.0490099516868633|0.104700038490346|0.0490099516868633|0.0394015030121968	0.115232122591671|0.125105764779263|0.115232122591671|0.115232122591671
Synthesis and degradation of ketone bodies	TAD837|TAD28	0.0102124617259282|0.0190712620221233	0.115232122591671|0.115232122591671
Systemic lupus erythematosus	TAD1174	8.4261688347424e-07	4.43778225296433e-05
T cell receptor signaling pathway	TAD837|TAD370|TAD332|TAD836|TAD1785|TAD611|TAD1099	0.0990328330066802|0.0990328330066802|0.0872057360653852|0.0752249406583156|0.0507943206724288|0.0257248518576072|0.0752249406583156	0.122935610123605|0.122935610123605|0.121396531262827|0.11858757455853|0.115232122591671|0.115232122591671|0.11858757455853
Taste transduction	TAD1005|TAD2130	0.0106382978723403|5.71267530160134e-23	0.115232122591671|3.00867565884337e-20
Taurine and hypotaurine metabolism	TAD548	0.00983138336160272	0.115232122591671
Terpenoid backbone biosynthesis	TAD1251|TAD1266|TAD1834	0.0168052658157046|0.0333407454300914|0.0306033913818815	0.115232122591671|0.115232122591671|0.115232122591671
TGF-beta signaling pathway	TAD2500|TAD2793|TAD548|TAD992|TAD1670|TAD1878	0.0563762220021277|0.0453583003597029|0.0780361878624738|0.0563762220021277|0.0563762220021277|0.0992043689288581	0.115232122591671|0.115232122591671|0.119127707075081|0.115232122591671|0.115232122591671|0.122935610123605
Th1 and Th2 cell differentiation	TAD1174|TAD837|TAD1858|TAD1859|TAD332|TAD836|TAD2586|TAD2058|TAD179	6.66416712420836e-08|0.0905709005015904|0.0349644701096399|0.132763989291964|0.0797092261988706|0.0687192533030104|0.0905709005015904|0.0797092261988706|0.122400862524184	4.57799306793444e-06|0.122358683260164|0.115232122591671|0.138826673118003|0.119543551774631|0.116895301324227|0.122358683260164|0.119543551774631|0.129961377996785
Th17 cell differentiation	TAD1174|TAD3017|TAD837|TAD2500|TAD2793|TAD548|TAD1858|TAD1859|TAD332|TAD836|TAD2586	1.90122150646407e-07|0.0921742778862079|0.104635772724716|0.0667335627174084|0.0537496193044272|0.0921742778862079|0.0405867499941792|0.152809646171171|0.0921742778862079|0.0795409897777182|0.00494381401664639	1.11256665933823e-05|0.122358683260164|0.125105764779263|0.116873426769585|0.115232122591671|0.122358683260164|0.115232122591671|0.157289407785309|0.122358683260164|0.119543551774631|0.102779291398701
Thermogenesis	TAD1362|TAD2176|TAD2914	0.113295306233357|0.233482741817996|0.113295306233357	0.126789956992472|0.236022221415505|0.126789956992472
Thyroid cancer	TAD842|TAD2498	0.0234939979046532|0.10370785820964	0.115232122591671|0.125105764779263
Thyroid hormone signaling pathway	TAD2583|TAD2582|TAD2298|TAD2629|TAD2142|TAD2310|TAD2953|TAD2309|TAD1780	0.0295167858017532|0.0148679825685721|0.0581696214090477|0.0295167858017532|0.0110424842814255|0.139191581492501|0.0721799219882411|0.0581696214090477|0.0148679825685721	0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671|0.115232122591671|0.144876613147662|0.1185626356522|0.116002141856372|0.115232122591671
Thyroid hormone synthesis	TAD1362|TAD2583|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD1133|TAD1466	0.0374097229153818|0.0188807388716129|0.00948474750064077|0.0374097229153818|0.0374097229153818|0.0374097229153818|0.0555934173283761|0.0822353955816028|0.108135669157077|0.108135669157077	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631|0.126402479830167|0.126402479830167
Tight junction	TAD1858|TAD1859|TAD566|TAD316|TAD2797|TAD170|TAD72|TAD2490	0.0639618994679266|0.23244929767661|0.12385520170156|0.0217892847987694|0.12385520170156|0.00406937420948558|0.0639618994679266|0.12385520170156	0.116483782209881|0.235127970761231|0.130373896527958|0.115232122591671|0.130373896527958|0.0945531066321651|0.116483782209881|0.130373896527958
TNF signaling pathway	TAD2727|TAD837|TAD1858|TAD1859|TAD927|TAD1362	0.0417085790798323|0.107425791708946|0.0417085790798323|0.156767445763701|0.081692711291485|0.0552246781055047	0.115232122591671|0.126402479830167|0.115232122591671|0.161153262398599|0.119543551774631|0.115232122591671
Toll-like receptor signaling pathway	TAD2727|TAD837|TAD1858|TAD1859|TAD767	0.039464045733099|0.1018381257802|0.039464045733099|0.148834824918963|0.0186986005484904	0.115232122591671|0.123867774236117|0.115232122591671|0.153498057031307|0.115232122591671
Toxoplasmosis	TAD1174|TAD2727|TAD837|TAD1858|TAD1859|TAD927|TAD2649|TAD2774	2.7684318247884e-07|0.0428295333313014|0.11020820056679|0.0428295333313014|0.160708289988792|0.0838402395075344|0.0105004948885725|0.11020820056679	1.56218652970202e-05|0.115232122591671|0.126402479830167|0.115232122591671|0.164989667434887|0.119543551774631|0.115232122591671|0.126402479830167
Transcriptional misregulation in cancer	TAD2298|TAD766|TAD1033|TAD1413|TAD1442|TAD1767|TAD1686|TAD1412|TAD1685	0.0920210119965628|0.0920210119965628|0.0471147176426318|0.0698373666834616|0.0698373666834616|0.0920210119965628|0.113678371802749|0.0238400410151242|0.0698373666834616	0.122358683260164|0.122358683260164|0.115232122591671|0.116895301324227|0.116895301324227|0.122358683260164|0.126844510909847|0.115232122591671|0.116895301324227
Tryptophan metabolism	TAD842|TAD1814|TAD111	0.0266346939842432|0.0318779084067983|0.0576831804971019	0.115232122591671|0.115232122591671|0.115804105322
Tuberculosis	TAD1174|TAD1858|TAD1859|TAD767|TAD2670	6.16700157642901e-06|0.0672698844916307|0.24324842810096|0.0508788547943723|0.109596634230831	0.00027839607116451|0.116873426769585|0.24542306283494|0.115232122591671|0.126402479830167
Type I diabetes mellitus	TAD1174	2.81478148670078e-10	4.94150527665248e-08
Type II diabetes mellitus	TAD1858|TAD1859|TAD506|TAD566|TAD316	0.017585932461072|0.0685480796393525|0.0518549192019608|0.034869207193261|0.00589592412201989	0.115232122591671|0.116895301324227|0.115232122591671|0.115232122591671|0.114016399159268
Tyrosine metabolism	TAD2523|TAD1915	0.0540237445031241|0.0799606867162708	0.115232122591671|0.119543551774631
Ubiquinone and other terpenoid-quinone biosynthesis	TAD2266|TAD2571	0.03880067607338|0.0112286706974621	0.115232122591671|0.115232122591671
Ubiquitin mediated proteolysis	TAD2797|TAD75|TAD2496|TAD611|TAD1118|TAD188|TAD542|TAD792|TAD889	0.10087028972494|0.0517657142616359|0.116670798999912|0.0348130720658695|0.0847892492147985|0.0847892492147985|0.00438404666409124|0.0684227340264977|0.0847892492147985	0.123396384057437|0.115232122591671|0.128669210736632|0.115232122591671|0.119543551774631|0.119543551774631|0.0992534459468183|0.116873426769585|0.119543551774631
Valine, leucine and isoleucine degradation	TAD842|TAD28|TAD127	0.0303928568230681|0.0884897972284953|0.0656719472790714	0.115232122591671|0.122144595105021|0.116636733975924
Vascular smooth muscle contraction	TAD2583|TAD566|TAD2582|TAD316|TAD2148|TAD2149|TAD526|TAD527|TAD1889|TAD1454	0.033553365945597|0.0973442950703786|0.0169187387849269|0.0169187387849269|0.0659891478462581|0.0659891478462581|0.0659891478462581|0.0973442950703786|0.0169187387849269|0.0973442950703786	0.115232122591671|0.122935610123605|0.115232122591671|0.115232122591671|0.116636733975924|0.116636733975924|0.116636733975924|0.122935610123605|0.115232122591671|0.122935610123605
Vasopressin-regulated water reabsorption	TAD1362|TAD2498|TAD2608	0.0223724710165178|0.122134369978693|0.0865951072207253	0.115232122591671|0.129860231875057|0.120759284562
VEGF signaling pathway	TAD2583|TAD2582|TAD2629|TAD332|TAD836	0.0150681028313204|0.00756216354780803|0.0150681028313204|0.0517687128998344|0.0445377905864172	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Vibrio cholerae infection	TAD2629|TAD1814|TAD280|TAD1466|TAD1121|TAD1756	0.012776972276377|0.0378527999269196|0.103636818397174|0.0743003549019119|0.0316429948406085|0.0683211555407304	0.115232122591671|0.115232122591671|0.125105764779263|0.11858757455853|0.115232122591671|0.116873426769585
Viral carcinogenesis	TAD1362|TAD1545|TAD1670	0.0991545037746685|0.0753232396602578|0.00627430642083837	0.122935610123605|0.11858757455853|0.114016399159268
Viral myocarditis	TAD1174|TAD927|TAD212|TAD190	2.84854008985868e-09|0.0445377905864172|0.0660695423471216|0.107711885877965	3.46207180152055e-07|0.115232122591671|0.116636733975924|0.126402479830167
Vitamin digestion and absorption	TAD1216|TAD1217	0.00614319915932393|0.00614319915932393	0.114016399159268|0.114016399159268
Wnt signaling pathway	TAD842|TAD2500|TAD2793|TAD1858|TAD1859|TAD2583|TAD2582|TAD75|TAD836|TAD1413|TAD1442|TAD2131|TAD1118|TAD1376|TAD687	0.0972611109452605|0.0972611109452605|0.0785919035538143|0.0595390990467471|0.217830682862442|0.0400948668626837|0.0202512176365033|0.0595390990467471|0.115554396115281|0.0595390990467471|0.0595390990467471|0.115554396115281|0.0972611109452605|0.115554396115281|0.0400948668626837	0.122935610123605|0.122935610123605|0.119543551774631|0.116002141856372|0.220906597511334|0.115232122591671|0.115232122591671|0.116002141856372|0.128033622624224|0.116002141856372|0.116002141856372|0.128033622624224|0.122935610123605|0.128033622624224|0.115232122591671
