GO.Term	GO.ID	TAD	P.value	P.adjust
ligand-gated calcium channel activity 	0099604	TAD527|TAD2266|TAD526	0.0104287958736624|0.047790636441766|0.00696406499121305	0.0371593497322587|0.0626542975341735|0.0371593497322587
ligand-gated cation channel activity 	0099094	TAD2143|TAD3020|TAD2859|TAD3007	0.0709003182578688|0.0461652888374223|0.0461652888374223|0.0156274282857387	0.0776139875396315|0.0615347086542047|0.0615347086542047|0.0385858011906455
ligand-gated channel activity 	0022834	TAD3007	0.00809465987040758	0.0371593497322587
ligand-gated ion channel activity 	0015276	TAD2266|TAD3007	0.0118740911697826|0.0176987007814532	0.0372988191330288|0.0403042028034204
ligand-gated sodium channel activity 	0015280	TAD2176	0.0214450494854791	0.0429298857046975
lipase activity 	0016298	TAD2143	0.0513011621643166	0.0646280840342062
lipid phosphatase activity 	0042577	TAD1650	0.0152589388370219	0.038383538875656
lipoprotein lipase activity 	0004465	TAD1374	0.0034864430963093	0.0367887940219646
lipoprotein particle binding 	0071813	TAD3067|TAD170	0.0139694075535145|0.00427952441114521	0.0379774733520519|0.0371593497322587
lipoprotein particle receptor activity 	0030228	TAD2131	0.00783013338928795	0.0371593497322587
long-chain fatty acid-CoA ligase activity 	0004467	TAD927	0.00522578654632688	0.0371593497322587
long-chain fatty acid binding 	0036041	TAD858|TAD873	0.00470423417995813|0.00418245396196593	0.0371593497322587|0.0371593497322587
low-density lipoprotein particle binding 	0030169	TAD170	0.00233837998737489	0.036036790332912
low-density lipoprotein particle receptor binding 	0050750	TAD170	0.0822010844381721	0.0845649288989147
low-density lipoprotein receptor activity 	0005041	TAD2131	0.00678907733164447	0.0371593497322587
LRR domain binding 	0030275	TAD2113	0.00609488832401284	0.0371593497322587
Lys48-specific deubiquitinase activity 	1990380	TAD212	0.00782945182216455	0.0371593497322587
Lys63-specific deubiquitinase activity 	0061578	TAD432|TAD212	0.00765613178579816|0.00860939198581212	0.0371593497322587|0.0371593497322587
lysine-acetylated histone binding 	0070577	TAD1785|TAD2953	0.0062693002658385|0.00783081511483164	0.0371593497322587|0.0371593497322587
lysine N-methyltransferase activity 	0016278	TAD3017|TAD2158|TAD1466	0.0127613540813524|0.0109478471215653|0.0217814866897403	0.0376346596834492|0.0371593497322587|0.0431057541167423
lysophosphatidic acid acyltransferase activity 	0042171	TAD1174|TAD2903|TAD816	0.0544380869200155|0.0121568517614231|0.00869786845696419	0.0665707684882657|0.03744401100915|0.0371593497322587
lysophospholipase activity 	0004622	TAD2571	0.0131919650847613	0.0376346596834492
m7G(5'pppN diphosphatase activity 	0050072)	TAD1059	0.00244157544560397	0.036096363877138
magnesium ion binding 	0000287	TAD1059|TAD2953|TAD1163|TAD1814|TAD75|TAD2744|TAD1100|TAD3085	0.0436060136947415|0.0542094214870391|0.0853248650869174|0.064696186239191|0.0328846758660924|0.0542094214870391|0.0853248650869174|0.0542094214870391	0.0595419592553781|0.0664725838836072|0.0866091528022426|0.073599942212471|0.0520652212187664|0.0664725838836072|0.0866091528022426|0.0664725838836072
magnesium ion transmembrane transporter activity 	0015095	TAD2242	0.00609435741287101	0.0371593497322587
malate dehydrogenase activity 	0016615	TAD1230|TAD3085	0.00261574540187737|0.00261574540187737	0.0366640006181636|0.0366640006181636
manganese ion binding 	0030145	TAD28|TAD190|TAD1163|TAD1230|TAD927	0.0448756377041144|0.0448756377041144|0.0241826234281153|0.015181465363699|0.0181907764089471	0.0603750786567823|0.0603750786567823|0.0447530048952949|0.038383538875656|0.0403140782972987
manganese ion transmembrane transporter activity 	0005384	TAD2176|TAD2849	0.0161258933122421|0.0228235624446025	0.03906269412121|0.043897725272239
mannose binding 	0005537	TAD2800	0.00479134938436776	0.0371593497322587
mannosidase activity 	0015923	TAD837	0.004878039430254	0.0371593497322587
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity 	0004571	TAD527	0.00418245396196593	0.0371593497322587
mannosyl-oligosaccharide mannosidase activity 	0015924	TAD527	0.00522578654632688	0.0371593497322587
MAP kinase activity 	0004707	TAD1858|TAD2484|TAD1859	0.00366108424309097|0.0097352452913444|0.0145697968171988	0.0367887940219646|0.0371593497322587|0.0379774733520519
MAP kinase kinase kinase activity 	0004709	TAD2415|TAD1266|TAD75|TAD1265	0.0850067804557737|0.0787292300006369|0.0202837028859304|0.0135680098395382	0.0863675292954612|0.0821555504552101|0.0420878063116292|0.0376346596834492
MAP kinase kinase kinase kinase activity 	0008349	TAD365	0.00287731972280458	0.0367887940219646
metal ion binding 	0046872	TAD760|TAD2306|TAD2541|TAD2542	0.0756600166300547|0.0874678128010903|0.0385723012479275|0.376410008544808	0.0804128352890172|0.0884100890045681|0.0558475648300241|0.376584514807462
metal ion transmembrane transporter activity 	0046873	TAD2176|TAD2148|TAD527|TAD2242|TAD2149|TAD526	0.0655481665666529|0.00869938295954231|0.0130217839293252|0.0151761937260387|0.00869938295954231|0.00869938295954231	0.0739816649847473|0.0371593497322587|0.0376346596834492|0.038383538875656|0.0371593497322587|0.0371593497322587
metalloaminopeptidase activity 	0070006	TAD2231|TAD2536	0.0103414408019566|0.0249404448550915	0.0371593497322587|0.0452661732525546
metallocarboxypeptidase activity 	0004181	TAD2673|TAD1916|TAD2306|TAD1454	0.0477906364417656|0.033689675156518|0.031320022932344|0.0145748571628953	0.0626542975341735|0.052275918968484|0.0509397512105595|0.0379774733520519
metalloendopeptidase activity 	0004222	TAD432|TAD107	0.0445017212649076|1.40232716543203e-08	0.0601344486472577|2.01748134866821e-06
metalloendopeptidase inhibitor activity 	0008191	TAD506	0.00938878711789892	0.0371593497322587
metalloexopeptidase activity 	0008235	TAD1916|TAD2231|TAD2536|TAD744|TAD2306|TAD1454	0.0640263119880314|0.0325328636723538|0.0772134308634672|0.0370947939344648|0.0595896389584804|0.0279497225756183	0.0731656007147726|0.0518686419053234|0.0813606366227355|0.0549797838671532|0.0703470683109412|0.0479592882257938
metallopeptidase activity 	0008237	TAD432|TAD744|TAD107|TAD2415|TAD1007|TAD2105	0.00212149798619824|0.0690513728541304|8.75636741097347e-08|0.00574083336614671|0.0606851384956385|0.0522444622668093	0.0341656168225059|0.076456060861577|9.94538993309512e-06|0.0371593497322587|0.0710572592911492|0.064944440997566
methylated histone binding 	0035064	TAD116|TAD2953|TAD2112|TAD1725	0.0423918814501166|0.0237734434354344|0.0143314055738264|0.0423918814501166	0.0590585990508165|0.0446068990067304|0.0379774733520519|0.0590585990508165
methylation-dependent protein binding 	0140034	TAD116|TAD2953|TAD2112|TAD1725	0.0401214732502169|0.0224884841036013|0.0135532461890961|0.0401214732502169	0.0571499269135102|0.0437042236882508|0.0376346596834492|0.0571499269135102
methyltransferase activity 	0008168	TAD1823|TAD1304|TAD2716|TAD1773|TAD135|TAD1545	0.0174399507684883|0.0345802111234607|0.0624950737859529|0.0569764628163217|0.0788607329829366|0.0174399507684883	0.040080312841744|0.0530633079044561|0.0721575984907117|0.0686900596411298|0.0822530023089305|0.040080312841744
MHC class II protein binding 	0042289	TAD170	0.0253894510559816	0.0456684701980974
MHC class II protein complex binding 	0023026	TAD1174	1.08085893891481e-05	0.000666426740050906
MHC class II receptor activity 	0032395	TAD1174	6.01279699049059e-14	2.16260265091312e-11
MHC protein binding 	0042287	TAD1174	0.0805693213684797	0.0833902136753857
MHC protein complex binding 	0023023	TAD1174|TAD2129	1.85964823535201e-05|1.39073137060271e-06	0.000978809973631621|0.000136418104443666
microfilament motor activity 	0000146	TAD2649|TAD3067|TAD2845|TAD2485	0.0171513478500958|0.0109468952604761|0.0125014670283173|0.0140537308998996	0.039772998727956|0.0371593497322587|0.03744401100915|0.0379774733520519
microtubule motor activity 	0003777	TAD837|TAD557	0.0411411397135739|0.0806167499899345	0.057996908084552|0.0833993032014759
microtubule plus-end binding 	0051010	TAD1967	0.00626820804259531	0.0371593497322587
mitogen-activated protein kinase kinase binding 	0031434	TAD1266|TAD75|TAD1265	0.066015500003626|0.0169223144347883|0.011313110646012	0.0744312690740987|0.0396938636416013|0.0371593497322587
monoamine transmembrane transporter activity 	0008504	TAD2673	0.0138820406336527	0.0379774733520519
monocarboxylic acid binding 	0033293	TAD2266|TAD2542|TAD2436	0.052446706695517|0.0228077694454424|0.0171528349412595	0.0650215783325174|0.043897725272239|0.039772998727956
monocarboxylic acid transmembrane transporter activity 	0008028	TAD2142|TAD2143|TAD2726	1.63017780994171e-08|0.0384155192108649|0.035719645425579	2.19870232115888e-06|0.0557502962051423|0.0537510367115279
monovalent cation:proton antiporter activity 	0005451	TAD837|TAD2958|TAD653	3.86503859965156e-05|0.00366108424309097|0.00730971908736788	0.00176480631822002|0.0367887940219646|0.0371593497322587
motor activity 	0003774	TAD2649|TAD837|TAD3067|TAD2845|TAD2485	0.0786684103814677|0.0578412151153695|0.050795952802077|0.0578412151153695|0.0648347961751192	0.082141947830004|0.0689512027911926|0.0643296162833816|0.0689512027911926|0.073599942212471
mRNA 3'-UTR binding 	0003730	TAD116|TAD2129	0.0484229838170884|0.0743197142979366	0.0629878234341632|0.0796922321874219
mRNA 5'-UTR binding 	0048027	TAD2649|TAD116	0.0209262510599882|0.0171528349412595	0.0424026758567649|0.039772998727956
mRNA binding 	0003729	TAD2673|TAD2744|TAD2336|TAD471	0.0383447443951993|0.0757150420650459|0.0610425511577777|0.0309991478722984	0.0557502962051423|0.0804128352890172|0.0713424964932534|0.0507558126771016
mRNA methyltransferase activity 	0008174	TAD2765	0.00366044581272362	0.0367887940219646
muscle alpha-actinin binding 	0051371	TAD858|TAD2237|TAD1916|TAD29	0.0125009239939033|0.00973566868632258|0.019382423932975|0.013880835366488	0.03744401100915|0.0371593497322587|0.0412645671609484|0.0379774733520519
myosin V binding 	0031489	TAD2498	0.0297058820921945	0.0494258238665811
N-acetylglucosamine 6-O-sulfotransferase activity 	0001517	TAD653	0.00366044581272362	0.0367887940219646
N-acetyltransferase activity 	0008080	TAD1503	0.00574911483271023	0.0371593497322587
N-acyltransferase activity 	0016410	TAD2176	0.0655481665666529	0.0739816649847473
N-methyltransferase activity 	0008170	TAD2765|TAD1310	0.0109478471215653|0.0127613540813524	0.0371593497322587|0.0376346596834492
N6-methyladenosine-containing RNA binding 	1990247	TAD1059	0.00244157544560397	0.036096363877138
NAD binding 	0051287	TAD837|TAD1163|TAD1230|TAD370|TAD1155	0.0152609250951403|0.0152609250951403|0.00956431552110548|0.0152609250951403|0.0133655392991726	0.038383538875656|0.038383538875656|0.0371593497322587|0.038383538875656|0.0376346596834492
NAD+ ADP-ribosyltransferase activity 	0003950	TAD2266|TAD233	0.0431125082479535|0.00939001236713943	0.0593003665907464|0.0371593497322587
NAD+ binding 	0070403	TAD370|TAD1155	0.00557319972405057|0.00487803943025378	0.0371593497322587|0.0371593497322587
NADH dehydrogenase (quinone activity 	0050136)	TAD992|TAD1083|TAD2536|TAD2228	0.0186254855927581|0.0759785779213652|0.0619550318417389|0.0186254855927581	0.0408346930221195|0.0804128352890172|0.0719585353683921|0.0408346930221195
NADH dehydrogenase (ubiquinone activity 	0008137)	TAD992|TAD1083|TAD2536|TAD2228	0.0186254855927581|0.0759785779213652|0.0619550318417389|0.0186254855927581	0.0408346930221195|0.0804128352890172|0.0719585353683921|0.0408346930221195
NADP binding 	0050661	TAD1230|TAD3018	0.013024047356205|0.0104324255987156	0.0376346596834492|0.0371593497322587
NADPH binding 	0070402	TAD3018	0.00348659510356031	0.0367887940219646
neuropeptide hormone activity 	0005184	TAD2143|TAD2800	0.0313186740629636|0.0112953920873262	0.0509397512105595|0.0371593497322587
neuropeptide receptor activity 	0008188	TAD2310|TAD1878|TAD899	0.0301389416127499|0.0271652108161177|0.000188511766135393	0.0499921875482815|0.047173110704208|0.00565011654611359
neuropeptide Y receptor activity 	0004983	TAD333|TAD899	0.00305117029255986|6.70781605310615e-06	0.0367887940219646|0.000461616990111784
neuropilin binding 	0038191	TAD627|TAD2536	0.0148293201335244|0.0278358166141438	0.0379774733520519|0.0479406961319412
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential 	0099529	TAD3007	0.00548827070017843	0.0371593497322587
neurotrophin TRK receptor binding 	0005167	TAD2194	0.00696224567918879	0.0371593497322587
neurotrophin TRKA receptor binding 	0005168	TAD2194	0.00522578654632688	0.0371593497322587
neutral amino acid transmembrane transporter activity 	0015175	TAD2171	0.0186991373856121	0.0408346930221195
NF-kappaB binding 	0051059	TAD1670	0.0104301566252615	0.0371593497322587
non-membrane spanning protein tyrosine kinase activity 	0004715	TAD3020|TAD190|TAD1650|TAD2129|TAD1545|TAD711|TAD2744|TAD1099	0.033281511881415|0.054865517780475|0.0584167920495627|0.0513011621643166|0.011216310905256|0.0223097098043449|0.0186254855927581|0.0223097098043449	0.0521958594768122|0.066870856220661|0.0691895923397126|0.0646280840342062|0.0371593497322587|0.0434515828138775|0.0408346930221195|0.0434515828138775
Notch binding 	0005112	TAD280	0.0249404448550915	0.0452661732525546
nuclear hormone receptor binding 	0035257	TAD2953|TAD2310|TAD3033|TAD3047|TAD2309	0.0242014627955557|0.047827424707179|0.0617323662822411|0.0431476226871341|0.0194076459621975	0.0447530048952949|0.0626542975341735|0.0718546097287359|0.0593003665907464|0.0412645671609484
nuclear localization sequence binding 	0008139	TAD2266|TAD1651|TAD1967	0.066283569343655|0.0289447677122816|0.0145748571628953	0.0745053456052926|0.0489768780535585|0.0379774733520519
nuclease activity 	0004518	TAD2326|TAD2845|TAD526|TAD470	0.0204393053821073|0.0404677837723616|0.0204393053821073|0.0204393053821073	0.0420878063116292|0.0574158299676241|0.0420878063116292|0.0420878063116292
nucleobase-containing compound kinase activity 	0019205	TAD1650|TAD2608|TAD1376	0.041102328938722|0.041102328938722|0.0156091074731348	0.057996908084552|0.057996908084552|0.0385858011906455
nucleoside-diphosphatase activity 	0017110	TAD2310|TAD1814|TAD2309	0.0112914646881224|0.00678907733164447|0.00453079349218033	0.0371593497322587|0.0371593497322587|0.0371593497322587
nucleoside-triphosphatase activity 	0017111	TAD1773|TAD1550|TAD420	0.0504936289015697|0.0370014835500481|0.072636967140097	0.064059524497112|0.0549797838671532|0.0787295706119183
nucleoside-triphosphate diphosphatase activity 	0047429	TAD2310|TAD2309	0.00782945182216432|0.00313834649098099	0.0371593497322587|0.0367887940219646
nucleoside diphosphate kinase activity 	0004550	TAD1376	0.00939001236713943	0.0371593497322587
nucleoside kinase activity 	0019206	TAD2608	0.0193824239329745	0.0412645671609484
nucleosomal DNA binding 	0031492	TAD2189|TAD2716	0.0324216623078917|0.0275006299335316	0.0518266276003187|0.0475913066532167
nucleotide kinase activity 	0019201	TAD1650	0.0316559663906809	0.0512095768149101
nucleotide receptor activity 	0016502	TAD2266	0.000120004810093823	0.00398415969511491
nucleotidyltransferase activity 	0016779	TAD1814|TAD1100	0.0083503203169063|0.0111192025058319	0.0371593497322587|0.0371593497322587
O-acyltransferase activity 	0008374	TAD1174|TAD2903|TAD816|TAD190	0.0831436307320464|0.0187889595226078|0.0134558331435194|0.0398438229394286	0.0851561248788592|0.0409148079210774|0.0376346596834492|0.0570178845512512
O-methyltransferase activity 	0008171	TAD2716|TAD135	0.0133632179432646|0.0169788451799555	0.0376346596834492|0.0397090686028368
olfactory receptor activity 	0004984	TAD1968|TAD170	1.11889472859455e-55|0.14727911844546	2.41457482430705e-52|0.147689747957855
olfactory receptor binding 	0031849	TAD703	1.75190097216764e-08	2.22288593360651e-06
oligosaccharyl transferase activity 	0004576	TAD548	0.00609435741287101	0.0371593497322587
organic acid transmembrane transporter activity 	0005342	TAD2415	0.0191253363922775	0.0412645671609484
organic acid:sodium symporter activity 	0005343	TAD2171|TAD2415	0.0101676375517187|0.0146558831457726	0.0371593497322587|0.0379774733520519
organic anion transmembrane transporter activity 	0008514	TAD2142|TAD2143|TAD127|TAD1916|TAD1149|TAD1234	4.07986088279217e-07|0.0822529127705385|0.0652084261363948|0.0822529127705385|0.0822529127705385|0.0822529127705385	4.19254275479309e-05|0.0845649288989147|0.0738069019858495|0.0845649288989147|0.0845649288989147|0.0845649288989147
organic cation transmembrane transporter activity 	0015101	TAD1743	0.0138820406336527	0.0379774733520519
outward rectifier potassium channel activity 	0015271	TAD1889	0.00122174709835088	0.0266316185680929
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor 	0016671	TAD2189	0.0112914646881228	0.0371593497322587
oxidoreductase activity, acting on NAD(PH, heme protein as acceptor 	0016653)	TAD1916|TAD3079|TAD1915	0.01577500541723|0.0146558831457726|0.020239771860456	0.0387828286173498|0.0379774733520519|0.0420878063116292
oxidoreductase activity, acting on NAD(PH, quinone or similar compound as acceptor 	0016655)	TAD3017|TAD1141	0.009129578774703|0.01431149270103	0.0371593497322587|0.0379774733520519
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors 	0016706	TAD1651|TAD1652|TAD1653|TAD2586	0.0319999995656673|0.00270529714634804|0.00809465987040758|0.0214450494854791	0.0515728148339882|0.0367887940219646|0.0371593497322587|0.0429298857046975
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor 	0016620	TAD1163|TAD21|TAD2242	0.0173260885179398|0.0173260885179398|0.0151761937260387	0.0400098024296139|0.0400098024296139|0.038383538875656
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor 	0016628	TAD837|TAD784|TAD1382	0.0118105462426104|0.00739706099011128|0.0118105462426104	0.0372261306883513|0.0371593497322587|0.0372261306883513
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor 	0016646	TAD1304|TAD21|TAD2242|TAD744	0.00939001236713943|0.0125014670283173|0.0109468952604761|0.0125014670283173	0.0371593497322587|0.03744401100915|0.0371593497322587|0.03744401100915
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor 	0016641	TAD1915	0.0233190286129319	0.0443324436929682
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor 	0016616	TAD837|TAD842|TAD1230|TAD21|TAD3017|TAD548|TAD3085|TAD3018	0.0598280179883574|0.0378190222151696|0.0378190222151696|0.00158434715623846|0.0525475591343422|0.0525475591343422|0.0378190222151696|0.0303700976048885	0.0703974170222874|0.0553329943978193|0.0553329943978193|0.0308811299399743|0.0650215783325174|0.0650215783325174|0.0553329943978193|0.0502212035489268
oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor 	0016723	TAD127	0.00956181964416636	0.0371593497322587
P-P-bond-hydrolysis-driven transmembrane transporter activity 	0015405	TAD2143|TAD1916|TAD1743|TAD2726|TAD2727	0.0536267088941951|0.0536267088941951|0.0309972609257515|9.33824618256886e-10|4.51276682041455e-05	0.0659034383790848|0.0659034383790848|0.0507558126771016|1.55014886630643e-07|0.00187279823047204
palmitoyl-(protein hydrolase activity 	0008474)	TAD28	0.00912957877470288	0.0371593497322587
palmitoyltransferase activity 	0016409	TAD557|TAD1915	0.0384122215034672|0.043112508247954	0.0557502962051423|0.0593003665907464
pancreatic polypeptide receptor activity 	0001602	TAD333|TAD899	0.00261574540187737|4.79269174280457e-06	0.0366640006181636|0.00036214646607011
patched binding 	0005113	TAD1476	0.00157013230998848	0.0308811299399743
PDZ domain binding 	0030165	TAD2113|TAD2845|TAD1413|TAD1846	0.0267664273415635|0.0424866113123294|0.0161455191049813|0.0579569048620547	0.0467329694199791|0.0590585990508165|0.03906269412121|0.0689512027911926
peptidase activator activity 	0016504	TAD652|TAD432	0.00973566868632258|0.0111192025058319	0.0371593497322587|0.0371593497322587
peptidase activator activity involved in apoptotic process 	0016505	TAD927	0.00939001236713943	0.0371593497322587
peptidase activity, acting on L-amino acid peptides 	0070011	TAD1174|TAD432|TAD2415|TAD2105	0.0938420510025741|0.000218429854788665|0.0179894124197795|0.00372617876046595	0.0945871770497687|0.00640993806480443|0.0403140782972987|0.0371593497322587
peptidase inhibitor activity 	0030414	TAD2859|TAD766	0.0279316247781848|0.0125090761328056	0.0479592882257938|0.03744401100915
peptide-lysine-N-acetyltransferase activity 	0061733	TAD2953|TAD1529|TAD726|TAD784|TAD179	0.0169046820011345|0.0067955893232835|0.0335308022092426|0.0169046820011345|0.0368229935546739	0.0396938636416013|0.0371593497322587|0.052275918968484|0.0396938636416013|0.0548405935755599
peptide alpha-N-acetyltransferase activity 	0004596	TAD2397	0.0143114927010299	0.0379774733520519
peptide disulfide oxidoreductase activity 	0015037	TAD280|TAD627|TAD1466	0.0132775989641087|0.00704896629348672|0.00938878711789837	0.0376346596834492|0.0371593497322587|0.0371593497322587
peptide hormone receptor binding 	0051428	TAD2716	0.0105134154153173	0.0371593497322587
peptide N-acetyltransferase activity 	0034212	TAD2397	0.0194681048046278	0.0412645671609484
peptidyl-prolyl cis-trans isomerase activity 	0003755	TAD1067|TAD1007|TAD1006	0.0294628427769492|0.000222534488509067|0.0164741041638889	0.0491730972255657|0.00640993806480443|0.0391101394781874
peroxisome proliferator activated receptor binding 	0042975	TAD3033	0.00678907733164458	0.0371593497322587
phosphatase activator activity 	0019211	TAD2194	0.00782945182216432	0.0371593497322587
phosphatase activity 	0016791	TAD2186	0.0532456564814482	0.0655845471957564
phosphatase binding 	0019902	TAD332|TAD2113|TAD2500|TAD29|TAD170|TAD1266|TAD3061|TAD1265|TAD1497|TAD2763	0.0606851384956385|0.0437286884076844|0.0437286884076844|0.0855631107014798|0.0704412478331135|0.101784809371185|0.0351371554399738|0.0177241373774077|0.0264691961176976|0.0177241373774077	0.0710572592911492|0.0595419592553781|0.0595419592553781|0.0866878839876965|0.0773205558615763|0.102449448984616|0.0533985784784953|0.0403042028034204|0.0465767065670244|0.0403042028034204
phosphatase inhibitor activity 	0019212	TAD2485	0.0140537308998996	0.0379774733520519
phosphate ion transmembrane transporter activity 	0015114	TAD2105	0.00678907733164447	0.0371593497322587
phosphatidic acid binding 	0070300	TAD707|TAD3079|TAD1767|TAD2723	0.0180097309131084|0.0180097309131084|0.00557417104186086|0.00279073688246056	0.0403140782972987|0.0403140782972987|0.0371593497322587|0.0367887940219646
phosphatidic acid transporter activity 	1990050	TAD2266	0.0145748571628947	0.0379774733520519
phosphatidylcholine transporter activity 	0008525	TAD1743	0.00557319972405057	0.0371593497322587
phosphatidylethanolamine binding 	0008429	TAD2674	0.00626820804259531	0.0371593497322587
phosphatidylglycerol binding 	1901611	TAD707|TAD873|TAD2723	0.0112914646881228|0.00696224567918913|0.00174466752998015	0.0371593497322587|0.0371593497322587|0.0327390654756275
phosphatidylinositol-3-phosphatase activity 	0004438	TAD2058|TAD1497	0.00852317092817567|0.00366108424309097	0.0371593497322587|0.0367887940219646
phosphatidylinositol-3-phosphate binding 	0032266	TAD2142|TAD2726|TAD1118	0.0293716383487568|0.0346214724418323|0.0134558331435194	0.0491348802764474|0.0530633079044561|0.0376346596834492
phosphatidylinositol-3,4-bisphosphate binding 	0043325	TAD332|TAD2674|TAD1767	0.0145729589829587|0.0248573746124052|0.00835250145589783	0.0379774733520519|0.0452265950033433|0.0371593497322587
phosphatidylinositol-3,4,5-trisphosphate binding 	0005547	TAD2176|TAD2674|TAD1767	0.0831436307320464|0.0330164503886645|0.0111250060079644	0.0851561248788592|0.0520652212187664|0.0371593497322587
phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity 	0052629	TAD2058|TAD1497	0.00730940087447229|0.00313862021553968	0.0371593497322587|0.0367887940219646
phosphatidylinositol-3,5-bisphosphate binding 	0080025	TAD2726|TAD1767|TAD1118	0.0235760694432575|0.00731131070675073|0.00913116775390577	0.0443797413435036|0.0371593497322587|0.0371593497322587
phosphatidylinositol-3,5-bisphosphate phosphatase activity 	0106018	TAD2058|TAD1497	0.009129578774703|0.00392224778588435	0.0371593497322587|0.0371593497322587
phosphatidylinositol-4-phosphate binding 	0070273	TAD1118	0.00956431552110548	0.0371593497322587
phosphatidylinositol-4,5-bisphosphate 3-kinase activity 	0046934	TAD2194|TAD506|TAD876|TAD2649	0.0578042573538773|0.0521752544984977|0.0176987007814532|0.00184364026947155	0.0689512027911926|0.064944440997566|0.0403042028034204|0.0331547975126634
phosphatidylinositol-4,5-bisphosphate binding 	0005546	TAD2142|TAD2674|TAD1767	0.0561360523494582|0.0610829283853629|0.0207830108889906	0.0678284439922344|0.0713424964932534|0.0422313912414705
phosphatidylinositol-5-phosphate binding 	0010314	TAD2142|TAD1118	0.00956181964416636|0.00435653260237878	0.0371593497322587|0.0371593497322587
phosphatidylinositol 3-kinase activity 	0035004	TAD2142|TAD2194|TAD506|TAD876|TAD2649	0.0706137246860608|0.0644031068258779|0.0581515362367067|0.019767065718423|0.00229692822404944	0.0774311066425402|0.0733413744222926|0.0690649505772223|0.0415358596108636|0.0359186312137586
phosphatidylinositol 3-kinase regulator activity 	0035014	TAD1968|TAD2649|TAD1454	0.0511919804997388|2.33846130990477e-05|0.00418245396196593	0.0646280840342062|0.00114690897881239|0.0371593497322587
phosphatidylinositol binding 	0035091	TAD1858|TAD502|TAD2148|TAD527|TAD2149|TAD526|TAD1067|TAD2496|TAD2723|TAD1118	0.0259547355987004|0.0344572256860023|0.0344572256860023|0.0512423859039171|0.0344572256860023|0.0344572256860023|0.0758799274871808|0.0595263081434705|0.017378128533443|0.0428862328821088	0.04606111794572|0.0530375841871562|0.0530375841871562|0.0646280840342062|0.0530375841871562|0.0530375841871562|0.0804128352890172|0.070343714271079|0.0400234806565315|0.0593003665907464
phosphatidylinositol bisphosphate binding 	1902936	TAD2142|TAD332|TAD1767|TAD1118	0.0804496996222458|0.0519639984580499|0.0300289188918712|0.0373957878623128	0.0833063588218841|0.064944440997566|0.049886379498582|0.0550478241520266
phosphatidylinositol bisphosphate kinase activity 	0052813	TAD2194|TAD506|TAD876|TAD2649	0.0602837185736755|0.0544202985911406|0.0184746782526699|0.00200801241482392	0.0707792517312251|0.0665707684882657|0.0408346930221195|0.0339832039300637
phosphatidylinositol kinase activity 	0052742	TAD2142|TAD2194|TAD506|TAD767|TAD876	0.0479025557459869|0.0436424250513947|0.0393636079338957|0.068925700538173|0.0132937687439899	0.0626542975341735|0.0595419592553781|0.0565933816931026|0.0764486644109101|0.0376346596834492
phosphatidylinositol monophosphate phosphatase activity 	0052744	TAD2058|TAD1497	0.00852317092817567|0.00366108424309097	0.0371593497322587|0.0367887940219646
phosphatidylinositol phosphate binding 	1901981	TAD2142|TAD2674|TAD1767|TAD1118	0.0750964178866701|0.0816405470053968|0.0279799554570317|0.0348532530221112	0.0801077952542927|0.0841357690724194|0.0479592882257938|0.0532222531352759
phosphatidylinositol phosphate kinase activity 	0016307	TAD2142	0.01431149270103	0.0379774733520519
phosphatidylinositol phospholipase C activity 	0004435	TAD2142|TAD2629	0.0228087556515068|0.00418464299267518	0.043897725272239|0.0371593497322587
phosphatidylinositol transporter activity 	0008526	TAD2723	0.00139585588490221	0.0298243267289006
phosphofructokinase activity 	0008443	TAD212	0.00548635780629014	0.0371593497322587
phospholipase A2 activity 	0004623	TAD2266	0.0708524051843138	0.0776139875396315
phospholipase activity 	0004620	TAD1163|TAD2571|TAD2629	0.0471827617647522|0.0471827617647522|0.012007199969547	0.0624844157043574|0.0624844157043574|0.03744401100915
phospholipase C activity 	0004629	TAD2142|TAD2629	0.025626343361447|0.00470710644586203	0.0459316021378759|0.0371593497322587
phospholipid-translocating ATPase activity 	0004012	TAD1743|TAD2797	0.0138820406336527|0.0104287958736624	0.0379774733520519|0.0371593497322587
phospholipid transporter activity 	0005548	TAD1743|TAD2797|TAD548|TAD2723	0.0330335150402523|0.0248767230162041|0.0289635052824417|0.00836051199925625	0.0520652212187664|0.0452265950033433|0.0489768780535585|0.0371593497322587
